
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 10월 20일~11월 18일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
속초,90,10-20,      14.5,      19.1,      10.2,       2.6,      66.3,       5.9,,,    1017.5,    1019.7,       2.2
철원,95,10-20,      11.3,      18.9,       4.8,       1.1,      72.1,       6.4,,,    1001.7,    1020.3,       1.4
동두천,98,10-20,      12.8,      20.6,       7.1,       1.3,      70.5,       6.2,,,    1007.1,    1020.5,       1.1
파주,99,10-20,      12.5,      20.1,       6.7,       1.1,      75.4,       6.3,,,    1016.7,    1020.4,       1.4
대관령,100,10-20,       8.1,      14.1,       2.8,       4.4,      77.2,       6.3,,,     926.4,    1020.9,       3.0
춘천,101,10-20,      12.2,      19.4,       6.8,       1.1,      75.6,       5.8,,,    1011.4,    1020.6,       1.0
백령도,102,10-20,      14.3,      17.5,      11.9,       1.0,      71.5,       6.8,       4.0,,    1004.3,    1020.3,       3.6
강릉,105,10-20,      15.0,      19.8,      10.9,       4.8,      62.2,       6.1,,,    1016.8,    1020.0,       2.5
동해,106,10-20,      14.6,      19.3,      10.2,       4.1,      68.2,       5.8,,,    1015.0,    1019.5,       2.4
서울,108,10-20,      14.7,      20.1,      10.1,       1.2,      61.6,       6.7,       3.3,       3.0,    1009.9,    1020.2,       1.9
인천,112,10-20,      15.0,      19.8,      10.8,       1.3,      67.5,       7.1,       3.3,       2.8,    1011.6,    1019.8,       2.2
원주,114,10-20,      12.7,      19.7,       7.0,       1.7,      71.2,       6.0,,,    1002.4,    1020.4,       0.8
울릉도,115,10-20,      14.8,      18.2,      12.5,       3.4,      70.8,       5.6,       5.3,       2.9,     993.5,    1019.7,       3.8
수원,119,10-20,      14.1,      20.3,       8.6,       1.5,      70.9,       6.7,       3.4,       2.7,    1016.1,    1020.4,       1.3
영월,121,10-20,      12.2,      20.1,       6.3,       1.5,      73.4,       5.8,,,     992.0,    1020.6,       1.1
충주,127,10-20,      12.3,      20.0,       6.4,       2.0,      73.4,       6.1,,,    1008.7,    1020.6,       1.2
서산,129,10-20,      13.7,      20.3,       7.9,       1.7,      74.3,       6.9,,,    1017.3,    1020.3,       1.9
울진,130,10-20,      14.5,      19.5,       9.9,       4.1,      70.2,       5.9,,,    1013.8,    1019.7,       3.3
청주,131,10-20,      14.2,      20.5,       8.8,       1.7,      66.9,       6.7,       3.5,       2.7,    1013.4,    1020.3,       1.3
대전,133,10-20,      14.2,      20.5,       8.8,       1.8,      71.9,       6.7,       3.6,       2.4,    1012.0,    1020.3,       1.4
추풍령,135,10-20,      12.5,      19.4,       6.6,       2.0,      72.1,       6.2,,,     991.3,    1020.4,       1.8
안동,136,10-20,      12.8,      20.0,       7.2,       1.9,      73.0,       5.7,       4.7,       2.6,    1003.7,    1020.6,       1.2
상주,137,10-20,      13.0,      20.3,       7.6,       2.6,      75.0,       5.5,,,    1008.6,    1020.3,       1.0
포항,138,10-20,      16.4,      20.6,      12.5,       2.3,      65.7,       5.9,       4.6,       3.0,    1019.6,    1020.0,       2.6
